game_id,attendance,period,home_team,away_team,home_points,away_points,pdo,fenwick_pct,corsi_pct,on_ice_shots_differential,on_ice_shots_pct,average_shot_distance,on_ice_shots_against,on_ice_shots_for,fenwick_total,fenwick_against,fenwick_for,corsi_total,corsi_against,corsi_for,away_pdo,away_fenwick_pct,away_corsi_pct
d4e6e4d6-4f54-417a-aad0-d31ef1f8e59a,18006.0,3.0,Rangers,Lightning,3,1,8.662,0.519,0.566,3.0,0.538,30.9,18.0,21.0,2.0,25.0,27.0,10.0,33.0,43.0,4.723,0.481,0.434
74862d16-c58e-48cd-9ac9-8bba7c38e5ce,18230.0,3.0,Kings,Golden Knights,3,4,10.922,0.441,0.41,-16.0,0.389,43.3,44.0,28.0,-11.0,52.0,41.0,-22.0,72.0,50.0,8.7,0.559,0.59
0e98c1ac-2b1b-4ed1-ab70-62c5c8cdee59,18824.0,3.0,Hurricanes,Blue Jackets,4,1,10.269,0.61,0.627,6.0,0.544,45.8,31.0,37.0,23.0,41.0,64.0,34.0,50.0,84.0,4.007,0.39,0.373
5fdf470b-8cb9-4748-bae5-60fcd29de3b4,21105.0,3.0,Canadiens,Maple Leafs,4,3,18.305999999999997,0.483,0.456,-8.0,0.409,32.1,26.0,18.0,-2.0,30.0,28.0,-8.0,49.0,41.0,10.226,0.517,0.544
c0a72838-2d41-4bd3-81cf-034a6a6fdafd,18573.0,3.0,Capitals,Bruins,2,5,6.533,0.561,0.553,5.0,0.551,38.7,22.0,27.0,8.0,29.0,37.0,10.0,42.0,52.0,17.643,0.439,0.447
55d3e1ad-649c-47dd-acbf-0e62fab5168e,18143.0,3.0,Avalanche,Blackhawks,5,2,15.182,0.635,0.61,11.0,0.641,46.2,14.0,25.0,14.0,19.0,33.0,17.0,30.0,47.0,12.657,0.365,0.39
a2fb9757-da5a-4d9b-856b-2523a8396755,18347.0,3.0,Oilers,Canucks,5,3,20.917,0.424,0.482,-6.0,0.432,26.6,25.0,19.0,-9.0,34.0,25.0,-3.0,44.0,41.0,9.100000000000001,0.576,0.518
f2c5a482-0b61-4a83-b43a-3eaed4e12fc2,17530.0,4.0,Ducks,Kraken,5,4,19.417,0.347,0.391,-16.0,0.362,36.6,37.0,21.0,-22.0,47.0,25.0,-20.0,56.0,36.0,9.115,0.653,0.609
10ceff40-6507-404b-b0f1-a5f8abfba753,18355.0,3.0,Penguins,Coyotes,6,2,12.229000000000001,0.667,0.589,17.0,0.649,30.2,20.0,37.0,23.0,23.0,46.0,16.0,37.0,53.0,7.987,0.333,0.411
a0d69bc8-a02b-45f2-a3c1-1a3c7d7c08f5,19107.0,3.0,Flyers,Devils,5,2,20.946,0.338,0.307,-14.0,0.36,35.6,32.0,18.0,-23.0,47.0,24.0,-39.0,70.0,31.0,6.2,0.662,0.693
